STA	DIST	AmpRatio	dT
OSD	16,689	0,11234	470,805
LEON	16,721	0,08938	472,03
JNS	16,725	0,1588	470,525
TSTH	16,733	0,07375	469,64
KRYH	16,735	0,09343	471,145
IWK	16,735	0,14368	471,165
MSH	16,759	0,04897	470,035
FS07	16,773	0,1034	472,75
TWAH	16,778	0,10218	470,86
ESP05	16,788	0,16579	471,84
PATO	16,797	0,06198	471,745
FS04	16,818	0,24733	471,085
ESP06	16,819	0,13256	471,715
ABRA	16,848	0,04037	471,375
ATDH	16,853	0,12191	469,9
MRMH	16,855	0,11596	471,26
SOMB	16,857	0,12791	472,005
AKD	16,859	0,09655	470,46
ESP07	16,866	0,09226	472,755
NNMH	16,869	0,12638	469,755
ONAJ	16,870	0,15194	470,505
FS10	16,877	0,10827	471,345
YBKH	16,902	0,15889	469,4
JSD	16,926	0,12845	470,405
KMKH	16,927	0,11158	470,33
KMOH	16,937	0,19002	471,095
JFY	16,956	0,10608	470,815
YHJ	16,987	0,16627	470,215
FS09	16,995	0,15382	470,77
IWWH	17,009	0,12623	470,315
SMGH	17,010	0,13145	469,185
KNY	17,013	0,14207	469,65
STDH	17,016	0,10205	470,56
NGUH	17,019	0,11766	470,42
CLAR	17,060	0,05409	470,715
KI2H	17,092	0,07378	470,19
FS12	17,099	0,13194	470,81
TDMH	17,125	0,05962	471,85
FKA	17,130	0,12284	470,21
USPA	17,138	0,05089	470,23
THGH	17,195	0,07255	470,275
JIZZ	17,200	0,09442	470,015
NGOH	17,202	0,11854	469,42
INAH	17,205	0,17523	470,21
YMZ	17,211	0,14144	470,34
FS6A	17,219	0,17805	470,525
FS13	17,238	0,30846	471,34
DGOH	17,240	0,06304	470,265
JSB	17,279	0,10113	470,225
JUOH	17,298	0,14046	469,335
FJ2H	17,314	0,09941	470,72
SEK	17,317	0,12878	469,45
OTWH	17,319	0,131	470,54
JHK	17,340	0,07371	470,38
YNTH	17,349	0,07436	469,415
ESP08	17,366	0,19188	471,08
YITH	17,376	0,10106	470,46
BTOH	17,380	0,15761	470,365
JHO	17,394	0,1343	469,895
YMAH	17,394	0,15127	470,77
HMTH	17,401	0,12276	470,08
FS1A	17,402	0,07946	470,61
KYEH	17,423	0,08431	469,425
CATA	17,425	0,12332	471
BILL	17,469	0,11757	469,255
BILL	17,469	0,09715	469,63
BILL	17,469	0,09649	469,64
KWNH	17,481	0,05532	469,765
KYWH	17,490	0,27751	470,235
MUIH	17,497	0,06697	469,88
GZNH	17,502	0,11616	470,36
MOTH	17,530	0,13631	470,72
IICH	17,539	0,10741	469,43
SZWH	17,568	0,10047	469,53
HTKH	17,578	0,21016	470,005
FM12	17,587	0,17872	469,95
JHKH	17,592	0,14591	469,03
JHG	17,620	0,23221	469,495
ESP09	17,629	0,07186	470,38
UMYH	17,642	0,1128	468,99
KRO	17,676	0,14777	467,915
FM11	17,681	0,09588	470,34
JKT	17,690	0,16753	469,855
KBH	17,697	0,18791	469,295
ASOH	17,710	0,09896	468,63
MAKH	17,713	0,05195	469,445
ASO	17,723	0,12708	468,455
IWSH	17,724	0,09172	470,475
SUZH	17,726	0,07038	470,21
AWNH	17,733	0,17786	469,015
GNZ	17,736	0,18674	469,16
TNEH	17,738	0,15433	467,76
NIK	17,738	0,12191	469,27
ESP10	17,766	0,07158	470,57
JJN	17,782	0,05984	469,42
YZWH	17,788	0,14007	469,785
YSTH	17,809	0,07763	469,78
TYOH	17,821	0,08561	469,23
NZWH	17,825	0,05623	469,33
ESP11	17,848	0,13839	469,64
MKOH	17,863	0,06194	469,15
NUJ2	17,879	0,14669	469,19
OHRH	17,882	0,04203	469,26
TSKH	17,884	0,03094	469,075
MDRH	17,885	0,06457	468,595
UCUH	17,899	0,17718	469,94
TSK	17,908	0,04505	468,74
TAYH	17,915	0,06136	469,525
HRJ	17,918	0,04396	469,075
KGRH	17,929	0,08119	469,47
YGDH	17,963	0,0493	469,24
NKNH	17,997	0,15724	469,7
FM09	18,000	0,14433	469,78
ISGH	18,010	0,07472	468,25
IGWH	18,021	0,0921	469,575
TBYH	18,036	0,08667	469,19
EDSH	18,047	0,10364	468,78
HRNH	18,075	0,08325	469,935
KUJ	18,081	0,12665	469,35
JGK	18,088	0,10138	469,31
TBSH	18,092	0,10238	468,705
OTNH	18,114	0,09229	468,66
CHSH	18,114	0,06163	468,06
AMZH	18,115	0,04538	469,295
WMZH	18,141	0,04557	469,21
FM07	18,147	0,11342	470,8
AHJ	18,157	0,08065	468,875
TUMH	18,167	0,04808	469,91
ESP12	18,169	0,17176	469,755
HSJ	18,201	0,08057	468,785
TGA	18,203	0,09297	469,865
TMOH	18,211	0,15528	468,165
PMNB	18,224	0,1747	469,495
HBAH	18,232	0,12697	467,66
MAJO1	18,235	0,04054	468,695
MAJO0	18,235	0,04011	468,715
TGIH	18,243	0,04202	469,07
OSTH	18,247	0,07353	468,635
IWTH	18,259	0,13858	468,505
MAT	18,262	0,05085	468,705
KIZH	18,288	0,05807	468,63
SHMH	18,288	0,06227	468,22
SHKH	18,320	0,06162	469,085
MYTH	18,321	0,06211	468,24
SMNH	18,323	0,06005	468,58
SNBH	18,325	0,09365	469,03
FM05	18,326	0,28404	470,245
KMDH	18,326	0,0616	468,72
KNAH	18,342	0,05421	468,705
MNAH	18,343	0,14775	468,75
NNJ	18,349	0,14002	469,005
TOIH	18,370	0,14827	468,84
OM2H	18,389	0,11381	468,48
IKSH	18,400	0,12617	469,37
HDKH	18,403	0,23753	468,93
DDR	18,403	0,21292	467,44
KHTH	18,418	0,07991	468,88
JNG	18,422	0,07952	468,155
HIMH	18,422	0,07241	468,885
OGOH	18,427	0,16875	466,375
TOYH	18,428	0,22385	469,685
CHHH	18,430	0,13762	469,01
TKRH	18,440	0,27977	468,2
KYJ	18,443	0,09426	468,42
TKSH	18,450	0,09907	468,2
OMCH	18,459	0,15013	468,45
SAKH	18,470	0,2448	468,68
NGRH	18,471	0,13608	468,895
JJH	18,471	0,08757	468,44
HHNH	18,472	0,16177	466,99
JRY	18,486	0,23903	468,42
MTU	18,489	0,10229	469,005
TYJ	18,490	0,09256	468,35
AAKH	18,493	0,16263	468,84
JHU	18,506	0,08758	466,97
MANH	18,511	0,08887	468,345
HOTH	18,522	0,19289	468,86
KOTH	18,525	0,1455	469,8
DMOH	18,529	0,07514	468,815
ATYH	18,548	0,10282	468,805
MMOH	18,570	0,08135	468,47
AHMH	18,588	0,17513	468,84
FCHH	18,597	0,06492	468,33
ICHH	18,601	0,18051	467,455
TBTH	18,605	0,03755	467,7
YTOH	18,606	0,09809	468,56
KWKH	18,610	0,14495	469,27
MNYH	18,614	0,07115	468,28
MSTH	18,621	0,0889	468,385
MWDH	18,638	0,07659	467,905
MMKH	18,650	0,17584	469,56
NRJ	18,651	0,12497	468,055
SSWH	18,651	0,16632	468,81
HHRH	18,653	0,34891	468,025
HH2H	18,668	0,3783	467,765
IMIH	18,682	0,06453	468,01
KOKH	18,695	0,20719	468,42
MAZH	18,702	0,09534	468,685
HCJ	18,708	0,10713	468,615
SDMH	18,709	0,15084	468,07
SOJH	18,712	0,07208	468,475
YROH	18,716	0,05903	468,055
FJOH	18,721	0,24961	467,71
SSGH	18,724	0,15327	468,84
KTRH	18,753	0,11448	468,03
TONH	18,757	0,12369	469,82
FMIH	18,761	0,13591	467,44
KT2H	18,764	0,06565	468,47
ASI	18,766	0,09018	467,99
TOGH	18,767	0,12653	469,245
AKWH	18,768	0,21535	468,185
CHNH	18,776	0,14207	468,365
KTUH	18,779	0,07883	468,555
SUYH	18,793	0,08362	467,79
FMJ	18,805	0,10902	468,16
YFTH	18,809	0,42098	469,775
TTNH	18,813	0,07897	468,32
SGR	18,817	0,13383	467,95
KTJ	18,822	0,10141	467,785
KF2H	18,825	0,12191	468,99
KYS	18,827	0,13876	468,26
HQNH	18,834	0,21296	469,075
AKY	18,835	0,11047	468,185
NGWH	18,854	0,09467	467,455
KIYH	18,856	0,06235	468,33
KNZH	18,860	0,09658	467,49
ATGH	18,864	0,0985	467,875
HQSH	18,869	0,11612	468,315
NRSH	18,871	0,04333	467,61
JGN	18,877	0,09043	467,745
FRKH	18,878	0,0774	468,21
YMKH	18,883	0,1202	468,2
JNT	18,885	0,07615	467,92
TU2H	18,895	0,09172	467,2
KRKH	18,906	0,07428	468,91
HYMH	18,910	0,13077	467,81
KMWH	18,911	0,07637	467,385
KSOH	18,914	0,11057	468,54
KMSH	18,915	0,16376	468,69
TR2H	18,920	0,0778	467,245
YSKH	18,929	0,10538	467,42
HSEH	18,949	0,0876	467,375
JYO	18,954	0,09293	467,595
YM2H	18,955	0,25144	467,745
HRTH	18,955	0,11071	467,395
ASNH	18,955	0,03255	468,065
BSO4	18,961	0,08845	467,87
AMJ	18,964	0,07322	468,4
NGY	18,966	0,15411	468,095
TMAH	18,967	0,08043	467,61
SRWH	18,968	0,08872	468,33
MTDH	18,974	0,16062	469,395
ASYH	18,987	0,11527	468,315
ASSH	19,002	0,02443	468,45
KADH	19,004	0,06283	468,11
TKN1	19,007	0,0732	467,99
KGNH	19,026	0,10361	467,54
MSFH	19,028	0,04876	467,29
OKCH	19,045	0,09722	467,615
ASGH	19,053	0,15451	467,66
KMJ	19,066	0,10268	467,615
KID1	19,067	0,12466	467,51
CKRH	19,072	0,09392	467,45
JYN	19,079	0,12246	468,145
ODWH	19,085	0,0912	467,65
AGMH	19,089	0,11347	467,975
HYNH	19,101	0,12542	467,2
JOD2	19,107	0,15272	467,685
SYKH	19,131	0,10245	468,94
TY2H	19,132	0,02232	467,68
